
    pProfilerData(IndexIdentifiers,i_ProfilerLineNumber,IndexProfilerTypes) := data 
      ( prStartupLaunchMode                                                                      ,  14, 'gross time' ) : 1.232e-02,
      ( prStartupLaunchMode                                                                      ,  14, 'net time'   ) : 9.000e-07,
      ( prStartupLaunchMode                                                                      ,  16, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  16, 'gross time' ) : 6.281e-03,
      ( prStartupLaunchMode                                                                      ,  16, 'net time'   ) : 1.320e-05,
      ( prStartupLaunchMode                                                                      ,  18, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  18, 'gross time' ) : 3.950e-05,
      ( prStartupLaunchMode                                                                      ,  18, 'net time'   ) : 7.400e-06,
      ( prStartupLaunchMode                                                                      ,  20, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  20, 'gross time' ) : 6.001e-03,
      ( prStartupLaunchMode                                                                      ,  20, 'net time'   ) : 2.010e-05,
      ( prStartupLaunchMode                                                                      ,  25, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  25, 'gross time' ) : 1.318e-02,
      ( prStartupLaunchMode                                                                      ,  25, 'net time'   ) : 2.300e-06,
      ( prStartupLaunchMode                                                                      ,  27, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  27, 'gross time' ) : 6.965e-03,
      ( prStartupLaunchMode                                                                      ,  27, 'net time'   ) : 1.460e-05,
      ( prStartupLaunchMode                                                                      ,  29, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  29, 'gross time' ) : 2.420e-05,
      ( prStartupLaunchMode                                                                      ,  29, 'net time'   ) : 1.000e-06,
      ( prStartupLaunchMode                                                                      ,  31, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  31, 'gross time' ) : 1.300e-05,
      ( prStartupLaunchMode                                                                      ,  31, 'net time'   ) : 1.300e-05,
      ( prStartupLaunchMode                                                                      ,  33, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  33, 'gross time' ) : 1.020e-05,
      ( prStartupLaunchMode                                                                      ,  33, 'net time'   ) : 5.100e-06,
      ( prStartupLaunchMode                                                                      ,  34, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  34, 'gross time' ) : 5.100e-06,
      ( prStartupLaunchMode                                                                      ,  34, 'net time'   ) : 5.100e-06,
      ( prStartupLaunchMode                                                                      ,  42, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  42, 'gross time' ) : 9.500e-06,
      ( prStartupLaunchMode                                                                      ,  42, 'net time'   ) : 7.000e-07,
      ( prStartupLaunchMode                                                                      ,  44, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  44, 'gross time' ) : 4.500e-06,
      ( prStartupLaunchMode                                                                      ,  44, 'net time'   ) : 4.500e-06,
      ( prStartupLaunchMode                                                                      ,  45, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  45, 'gross time' ) : 4.300e-06,
      ( prStartupLaunchMode                                                                      ,  45, 'net time'   ) : 4.300e-06,
      ( prStartupLaunchMode                                                                      ,  50, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  50, 'gross time' ) : 2.660e-05,
      ( prStartupLaunchMode                                                                      ,  50, 'net time'   ) : 1.700e-06,
      ( prStartupLaunchMode                                                                      ,  52, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  52, 'gross time' ) : 4.400e-06,
      ( prStartupLaunchMode                                                                      ,  52, 'net time'   ) : 4.400e-06,
      ( prStartupLaunchMode                                                                      ,  53, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  53, 'gross time' ) : 3.700e-06,
      ( prStartupLaunchMode                                                                      ,  53, 'net time'   ) : 3.700e-06,
      ( prStartupLaunchMode                                                                      ,  55, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  55, 'gross time' ) : 4.200e-06,
      ( prStartupLaunchMode                                                                      ,  55, 'net time'   ) : 4.200e-06,
      ( prStartupLaunchMode                                                                      ,  56, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  56, 'gross time' ) : 4.000e-06,
      ( prStartupLaunchMode                                                                      ,  56, 'net time'   ) : 4.000e-06,
      ( prStartupLaunchMode                                                                      ,  58, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  58, 'gross time' ) : 8.600e-06,
